publisher,num_male,num_female,top_genres
Edebé,3,0,"Romance, Young Adult, Spanish Literature"
Edelweiss,3,0,"Media Tie In, Indonesian Literature, Novels"
Aperture,3,0,"Photography, Art, Japan"
"Little, Brown Spark",2,1,"Nonfiction, Nature, Animals"
Longman,2,1,"Literature, School, Plays"
Mitchell Beazley,2,1,"Cookbooks, Cooking, Food"
Mizan,2,1,"Philosophy, Young Adult, Fantasy"
Mizania,3,0,"Islam, Romance, Nonfiction"
Mladá fronta,2,1,"Romance, Classics, France"
eReads.com,2,1,"Science Fiction, Fantasy, Novels"
نشر نی,3,0,"Sociology, History, Nonfiction"
نوفا بلس للنشر والتوزيع,3,0,"Novels, Short Stories, Psychology"
A & C Black,0,3,"Fantasy, Childrens, Classics"
Arnoldo Mondadori,2,1,"Italian Literature, Fantasy, Young Adult"
Walnut Springs Press,0,3,"Romance, Clean Romance, Historical Romance"
Wild Child Publishing,2,1,"Romance, Young Adult, New Adult"
White Wolf Publishing,2,1,"Fantasy, Horror, Vampires"
Wheeler Publishing,1,2,"Romance, Contemporary Romance, Contemporary"
遠流出版事業股份有限公司,0,2,"China, Historical Fiction, Chinese Literature"
অন্যপ্রকাশ,2,0,"Historical Fiction, War, Novels"
A.C. Bextor,2,0,"Romance, Contemporary, Contemporary Romance"
900647,2,0,Parenting
A Beka Book,2,0,"Biography, History, Historical"
5 Spot,0,2,"Chick Lit, Romance, Contemporary Romance"
535,2,0,"Photography, Humor, Nonfiction"
7th House,0,2,"Paranormal, Fantasy, Vampires"
8Grand Publications,2,0,"Drama, Contemporary, Epic"
অনন্যা,2,0,"Science Fiction, Young Adult, Drama"
کاروان,2,0,"Novels, Nonfiction, Spirituality"
نگاه,2,0,"Novels, Literature, Iran"
نیلوفر,2,0,"Novels, Literature, Iran"
نشر ثالث,2,0,"Literature, Romance, Plays"
نشر مرکز,1,1,"Novels, Iran, Literature"
نشر نو,2,0,"Travel, Nonfiction, Biography"
دار ليلى كيان كورب,2,0,"Short Stories, Anthologies, Novels"
دار رياض الريس,2,0,"Novels, History, Politics"
دار سعاد الصباح,2,0,"Biography, Literature, Nonfiction"
AMACOM/American Management Association,2,0,"History, Nonfiction, Leadership"
AO3,2,0,"Fan Fiction, M M Romance, Romance"
AEON Books,2,0,"Occult, Magick, Magic"
ALAF 21,2,0,"Novels, Thriller, Crime"
ABRAMS,2,0,"Fantasy, Mystery, Fairy Tales"
دايموند بوك,2,0,"Egypt, Literature, Horror"
دار نهضة مصر,2,0,"Biography, Nonfiction"
دار نهضة مصر للطباعة والنشر,2,0,"Religion, Biography, History"
دار نون للنشر والتوزيع,2,0,"Novels, Literature, Spirituality"
دار ومكتبة الهلال,2,0,"Humor, France, Classics"
دار مدارك للنشر,2,0,"Nonfiction, Self Help, Philosophy"
دار كلمات للنشر والتوزيع,1,1,"Nonfiction, Memoir, Art"
دار ليلى,2,0,"Nonfiction, Humor, Short Stories"
Aaron B. Powell,2,0,"Erotica, Romance, Military Fiction"
ART,2,0,"Poetry, Czech Literature, Literature"
ASA,1,1,"Romance, Historical, Historical Fiction"
ASJ Publishing,2,0,
AST :Astrelʹ :Khranitelʹ,0,2,"Russia, Childrens, Russian Literature"
شركة الإبداع الفكري,2,0,"Nonfiction, History, Religion"
سخن,2,0,"History, Historical, Nonfiction"
رياض الريس للكتب والنشر,2,0,"Poetry, Literature, Philosophy"
Harlequin Nocturne,0,2,"Paranormal Romance, Harlequin Nocturne, Paranormal"
Harlequin Presents,0,2,"Romance, Fantasy, Magic"
Gwalchmai Press,2,0,"Fantasy, Magic, Epic Fantasy"
Gummerus,1,1,"Finnish Literature, Contemporary, Roman"
Gurjar Granthratna Karyalay,2,0,
Abbott Press,1,1,"Shapeshifters, Paranormal, Dystopia"
"AVON, a division of HarperCollins Publishers Ltd",1,1,"Romance, Chick Lit, Contemporary"
AW Teen,0,2,"Young Adult, Fantasy, Young Adult Fantasy"
Penelope Douglas LLC,1,1,"Romance, New Adult, Contemporary"
Pen Press,0,2,Modern
Pear Press,2,0,"Nonfiction, Psychology, Science"
Pedro Sajini Publishing,2,0,
Peachtree Publishing Company,0,2,"Picture Books, Childrens, Books About Books"
Patti Larsen Books/Purely Paranormal Press,0,2,"Mystery, Paranormal, Urban Fantasy"
Pauline Books & Media,2,0,"Catholic, Theology, Religion"
Paulist Press,1,1,"Philosophy, Spirituality, Childrens"
PAN BOOKS,1,1,"Romance, Historical Fiction, Historical"
Oxmoor House,1,1,"Nonfiction, Health, Self Help"
Owl Books (NY),1,1,"Short Stories, Canada, Contemporary"
Denoël,2,0,"Humor, Finnish Literature, Roman"
Demco Media,0,2,Childrens
Dark Horse Publishing,0,2,"Romance, Dark, BDSM"
Dark Forest Press,2,0,"Fantasy, Elves, Magic"
Pendrell Publishing,2,0,"Young Adult, Paranormal, Fantasy"
Pan MacMillan Australia,1,1,"Crime, Mystery, Thriller"
Delancey Press,2,0,"Humor, Nonfiction"
Delirium Books,2,0,"Horror, Thriller, Science Fiction"
Del Rey/Ballantine,2,0,"Fantasy, Science Fiction Fantasy, Science Fiction"
Del Rey (Random House),1,1,"Fantasy, Dystopia, Adult"
Definitions,0,2,"Young Adult, Romance, Contemporary"
"P.D. Publishing, Inc.",0,2,"M M Romance, Contemporary, Romance"
P.O.L,1,1,"France, Contemporary, Novels"
David C Cook,2,0,"Christian, Christianity, Religion"
Darusalam,2,0,"Islam, Religion, Biography"
Park Row,1,1,"Audiobook, Adult, Thriller"
Parragon,0,2,"Picture Books, Childrens, Dogs"
Paragon Press,2,0,"Science Fiction, Thriller, Mystery"
Papier-Mache Press,0,2,"Poetry, Short Stories, Nonfiction"
ParaGoddess Press,2,0,
Panini Comics,2,0,"Comics, Marvel"
Orca Book Publishers,0,2,"Young Adult, Contemporary, Canada"
Devine Destinies,0,2,Romance
DK Publishing (Dorling Kindersley),2,0,"Nonfiction, Reference, Star Trek"
DMC,0,2,"Mystery, Amazon, Thriller"
DELCOURT,2,0,"Comics, Bande Dessinée, Science Fiction"
Penguin Razorbill,1,1,"Young Adult, Mystery, Science Fiction"
Penguin Publishing Group,1,1,"Romance, Contemporary, Contemporary Romance"
Penguin Puffin,1,1,"Young Adult, Adventure, Childrens"
Overlook,2,0,"Thriller, Espionage, Spy Thriller"
Overlook Books,2,0,"Nonfiction, Animals, Dogs"
"OtherLove Publishing, LLC",2,0,"Science Fiction Romance, M M Romance, Romance"
Outlaw Studios,2,0,"Christian, Nonfiction, Faith"
Outlaws Publishing LLC,2,0,Westerns
Osho International Foundation,2,0,"Philosophy, Zen, Nonfiction"
"Oshun Publishing Company, Incorporated",0,2,
Origami Edizioni,1,1,
Penguin Books Ltd.,2,0,"Military Fiction, Thriller, Action"
Penguin (Non-Classics),2,0,"Humor, Short Stories, Classics"
Penerbit Imania,2,0,
Penerbit Mahaka,0,2,"Novels, Romance, Indonesian Literature"
Dark Trope Publishing,2,0,"Fantasy, Angels, Paranormal"
Dark horse comics,2,0,"Comics, Graphic Novels, Comic Book"
DarkSide Publishing,0,2,"Vampires, Young Adult, Paranormal"
"Outskirts Press, Inc.",2,0,"Contemporary, Novels, Epic"
Pavilion,2,0,"Fantasy, Art, Humor"
Pathfinder Pr,2,0,"Politics, History, Philosophy"
Pathfinder Press (NY),2,0,"Politics, Nonfiction, Philosophy"
Dami Editore,1,1,
Damm Förlag,0,2,"Romance, Historical Romance, Historical Fiction"
Dafina Books,2,0,"African American, Race, Drama"
Penguin Group USA,2,0,"Novels, Science Fiction, Dystopia"
Penguin Books Australia Ltd,2,0,"Nonfiction, Biography, Australia"
Plain Sight,1,1,
Planet Manga,2,0,"Manga, Comics, Science Fiction"
Pitch73 Publishing,2,0,"Romance, Contemporary Romance, Contemporary"
Pilgrim,0,2,Nonfiction
Piemme,2,0,"Mystery, Thriller, Crime"
Piccadilly Press Ltd,0,2,"Young Adult, Contemporary, Teen"
Phoenix Athenaeum,2,0,
Philomel Penguin,2,0,"Fantasy, Young Adult, Animals"
Penguin eBooks,1,1,"Fantasy, Magical Realism, Time Travel"
Penkhull Press,2,0,
Penguin Workshop,1,1,"Biography, Nonfiction, Childrens"
Dewan Bahasa dan Pustaka,2,0,"Novels, Travelogue"
Destiny Books,2,0,"Nonfiction, Spirituality, India"
Destiny Image,1,1,"Nonfiction, Spirituality, Faith"
Destiny Publishing-Hester,0,2,"Young Adult Romance, Young Adult, Romance"
Diego Beach Publishing,0,2,"Romance, Fantasy, Time Travel"
Peter Owen,1,1,"Classics, Novels, Queer"
Persea,2,0,"Classics, Novels, Literature"
Persea Books,2,0,"Poetry, Turkish Literature, Turkish"
Pepper Pace,2,0,"Romance, Interracial Romance, Contemporary Romance"
Pepper Winters,2,0,"Dark, Romance, New Adult"
Perennial,0,2,"Horror, Science Fiction, Classics"
Perennial Classics,2,0,"Short Stories, Magical Realism, Classics"
Penny Reid,0,2,"Romance, Contemporary, Contemporary Romance"
Penguin Putnam Inc USA,1,1,"Fantasy, Science Fiction Fantasy, High Fantasy"
Penguin Philomel,0,2,"Mystery, Historical Fiction, Young Adult"
"Penguin Group USA, Inc",2,0,
Penguin Life,2,0,"Nonfiction, Self Help, Psychology"
Dannika Dark,2,0,"Paranormal, Fantasy, Urban Fantasy"
Dana Marton,0,2,"Romantic Suspense, Romance, Suspense"
Círculo de Lectores,1,1,"Spanish Literature, Spain, Novels"
Persephone Books,1,1,"Classics, British Literature, Historical Fiction"
Plata Publishing,2,0,"Business, Nonfiction, Entrepreneurship"
Platinum Press,1,1,"Mythology, India, Indian Literature"
Platt & Munk,2,0,"Picture Books, Childrens, Classics"
Planeta (Espejo de la Argentina,0,2,Nonfiction
Pogue Press,2,0,"Nonfiction, Science, Self Help"
Creative Editions,2,0,"Classics, Horror, Short Stories"
Creativia,2,0,"Thriller, Amazon, Terrorism"
Crazy 8 Press,2,0,
Crimson Cloak Publishing,2,0,"Mystery, Contemporary, Epic"
Crimson Moon Press,2,0,"Fantasy, Christian, Angels"
Creativia Publishing,2,0,"Horror, Mystery, Paranormal"
Crescent Moon Publishing,0,2,
Plaza & Janes,1,1,"Historical Romance, Thriller, Historical Fiction"
Plaza & Janés,2,0,"Classics, Spanish Literature, Literature"
Plaza & Janés Editores,2,0,
Playmore Publishers,0,2,"Classics, Animals, Childrens"
Odeon,2,0,"Czech Literature, Classics, Horror"
Ocean Press,2,0,"Nonfiction, Biography, History"
Octagon Press,0,2,
Obsidian,0,2,"Mystery, Paranormal, Cozy Mystery"
Obsidian Poet Press,2,0,"Fantasy, Mythology, Fairy Tales"
Oasis Audio,0,2,"Christian Fiction, Christian, Mystery"
Obelisco,1,1,"Fantasy, Self Help, Psychology"
Crimson Romance,0,2,"Romance, Historical Romance, Historical Fiction"
DC Black Label,2,0,"Comics, Graphic Novels, Batman"
Dey's Publishing,2,0,"Nonfiction, Thriller, History"
One World,1,1,"Fantasy, Historical Fiction, African American"
Olympiapress.com,2,0,"Classics, Novels, France"
Olivia Cunning,0,2,"Romance, Erotica, Contemporary"
Oldburne Press,2,0,
Oetinger Verlag,2,0,"Christmas, Childrens, Picture Books"
Octopus Books,1,1,"Science Fiction, Classics, Literature"
Praeger,1,1,"Short Stories, Biography, Nonfiction"
Potter Style,1,1,"Travel, Nonfiction, Memoir"
Portfolio Hardcover,2,0,"Business, Nonfiction, Technology"
Portfolio Penguin,1,1,"Nonfiction, Business, Self Help"
Porticullis,2,0,
Portobello Books,2,0,"Nonfiction, History, Science"
Ponte alle Grazie,1,1,"Italian Literature, Philosophy, Literature"
"Poppy (an imprint of Little, Brown and Company)",1,1,"Fantasy, Young Adult, Romance"
Nosy Crow,1,1,"Middle Grade, Childrens, Adventure"
Norvik Press,1,1,"Swedish Literature, Novels, Classics"
Covenant Communications Inc.,0,2,"Historical, Biography, Religion"
Covenant Evangelical Free Church,2,0,"Christian, Nonfiction, Spirituality"
Cowley Publications,1,1,"Nonfiction, Spirituality, Science"
Countryside Books (GB),1,1,Supernatural
Cosmo Red Hot Reads from Harlequin,0,2,"Romance, Erotica, Contemporary Romance"
Cossee,2,0,"Literature, Novels, Contemporary"
Disney Lucasfilm Press,2,0,"Star Wars, Science Fiction, Young Adult"
Disney Editions,2,0,"Fantasy, Young Adult, Adventure"
Discovery Books,2,0,"Nonfiction, Mountaineering, Adventure"
Digital Future Press,0,2,"Self Help, Nonfiction, Memoir"
Digital Manga Publishing / Dark Horse,2,0,"Fantasy, Horror, Vampires"
Diogenes Verlag,1,1,"German Literature, Contemporary, Roman"
Nova Fronteira,2,0,"Classics, Brazil, Literature"
Nova poetika,2,0,Fantasy
Creaatespace,2,0,
Pocket Books/Star Trek,2,0,"Star Trek, Science Fiction, Star Trek Deep Space Nine"
Pocket Essentials,1,1,"True Crime, History, Nonfiction"
"Pocket Books, Inc.",2,0,"British Literature, 20th Century, Comics"
Plexus Publishing,0,2,"Young Adult, Science Fiction, Dystopia"
OMUPRESS,0,2,"Horror, Novels, Mystery"
Oak Press LLC,0,2,"Romance, Contemporary Romance, Contemporary"
Disney Hyperion Books,1,1,"Fantasy, Young Adult, Magic"
Coronet Books,1,1,"Historical Fiction, Historical, Romance"
Cooper Square Press,2,0,"Biography, Nonfiction, Autobiography"
Copper Country Press LLC,0,2,"Romance, Contemporary Romance, Contemporary"
Princeton University Press (NJ),2,0,"Psychology, Philosophy, Religion"
Presses du Châtelet,2,0,"Islam, Religion, Nonfiction"
Price Publishing,0,2,"Amish, Christian Fiction, Novella"
Companhia de Bolso,1,1,"Nonfiction, Poetry, Portuguese Literature"
Pyramid Books,1,1,"Science Fiction, Science Fiction Fantasy, Hard Science Fiction"
Nilgiri Press,2,0,"Spirituality, Philosophy, Nonfiction"
No Greater Joy Ministries,0,2,"Marriage, Nonfiction, Christian"
Prospect Park Books,1,1,"Mystery Thriller, Crime, Mystery"
Professional Publications,2,0,"Romance, New Adult, Abuse"
Coronet Books (GB),2,0,"Mystery, Thriller, Mystery Thriller"
Corvallis Press,2,0,"Paranormal, Romance"
Corvina,2,0,"Classics, Hungarian Literature, Hungary"
Cornelia Franke,1,1,
Distractions Incorporated,0,2,"Romance, Clean Romance, Historical Romance"
North River Press,2,0,"Business, Nonfiction, Management"
NorthSouth,1,1,"Fairy Tales, Classics, Short Stories"
North Point,1,1,"Poetry, Religion, Spirituality"
Noonday Press,0,2,"Nonfiction, Medicine, Anthropology"
Noble Romance Publishing,0,2,"Erotica, Romance, Lesbian"
"Noble Romance Publishing, LLC",0,2,"Romance, Adult, Historical Romance"
Nocturna ediciones,0,2,"Fantasy, Young Adult, Romance"
Podiobooks,2,0,"Fantasy, Audiobook, Science Fiction"
Podiobooks.com,2,0,"Science Fiction, Thriller, Audiobook"
Dogwise Publishing,0,2,"Self Help, Nonfiction, 21st Century"
Dolphins Publishing and Karen Brueggeman,0,2,"Fantasy, Picture Books, Childrens"
Djambatan,2,0,"Novels, Indonesian Literature, Classics"
Diva Press,0,2,"Fantasy, Romance, Indonesian Literature"
Disney/Hyperion Books,2,0,"Fantasy, Young Adult, Science Fiction"
Distinct Publishing,0,2,
New Riders Publishing,2,0,"Reference, Nonfiction, Art"
New Society Publishers,2,0,"Nonfiction, Philosophy, Education"
Quill Pen Ink Publishing,2,0,
Colonial Williamsburg Foundation,0,2,"Fashion, History, Nonfiction"
Collins Living,0,2,"Parenting, Nonfiction, Psychology"
Collins Voyager,2,0,"Fantasy, Young Adult, Science Fiction"
"Coliloquy, LLC",0,2,"Young Adult, Contemporary, High School"
Cobblestone Press,2,0,"M M Romance, Contemporary, Romance"
Nicholas Brealey Publishing,2,0,"Business, Nonfiction, Travel"
Nicky Charles via Smashwords,2,0,"Paranormal, Romance, Paranormal Romance"
Nhà xuất bản Trẻ,2,0,"Short Stories, Literature, Tragedy"
Newmarket,2,0,"Media Tie In, Novels"
Newton & Compton,2,0,"Detective, Horror, Lovecraftian"
New York Zoetrope,2,0,Fantasy
New York: Random House,2,0,"Picture Books, Childrens, Classics"
New York Review Books,2,0,"Classics, Literature, Novels"
DoubleDay,2,0,"Nonfiction, Biography, Music"
Doubleday & Company,1,1,"Poetry, Humor, Philosophy"
"Dorset House Publishing Company, Incorporated",2,0,"Management, Business, Programming"
Dorset Press,2,0,"History, Nonfiction, Classics"
Double Dragon Publishing,2,0,"LGBT, Science Fiction, Fantasy"
Dorchester Publishing,1,1,"Vampires, Paranormal Romance, Romance"
"Dorchester Publishing Co., Inc.",1,1,"Romance, Historical Romance, Historical"
"Dorchester Publishing, LoveSpell imprint",0,2,"Romance, Science Fiction, Paranormal"
Pushkin Collection,2,0,"German Literature, Short Stories, France"
Pustaka Al-Kautsar,2,0,"Islam, Religion, Nonfiction"
Punto de lectura,1,1,"Vampires, Horror, Fantasy"
Public Domain Books,2,0,"Classics, Literature, 19th Century"
Publication Nepalaya,2,0,"Autobiography, Biography, Asia"
Prometheus Nemesis Book Company,1,1,"Psychology, Nonfiction, Self Help"
Pronoun,1,1,"Fantasy, Young Adult, Romance"
Night Works Books,0,2,"Romance, Contemporary Romance, Contemporary"
Climax Publishing,0,2,
Clarissa Wild,1,1,"Dark, Romance, Suspense"
Rajpal & Sons,2,0,"Poetry, Mythology, Classics"
Raconteur House,2,0,"Fantasy, Magic, Humor"
Rabbit Room Press,2,0,"Fantasy, Christian, Young Adult"
R.L. Mathewson,2,0,"Romance, Erotica, Adult"
R.P. Garcia,1,1,"History, Nonfiction, School"
RH Canada UK Dist,1,1,"Fantasy, Science Fiction, Science Fiction Fantasy"
New Directions Publishing Corporation (NY),2,0,"Classics, Literature, Novels"
New Directions Publishing,2,0,"Literature, Classics, Writing"
Dualmind Publishing,1,1,"Young Adult, Adventure, Fantasy"
Droemer/Knaur,2,0,"Thriller, Mystery, Crime"
Drofa Plus,2,0,"Russia, Childrens, Fantasy"
Random House Audio Publishing Group,2,0,"Nonfiction, Biography, Christian"
Random House (UK),2,0,"Adventure, Fantasy, Science Fiction"
Clube do Autor,2,0,"Poetry, Portugal"
Context Books,2,0,
Dragonfairy Press,2,0,"New Adult, Paranormal Romance, Paranormal"
Dragonfly Books,0,2,"Picture Books, Childrens, Realistic Fiction"
Dr Garry Bonsall,2,0,
Douglas & McIntyre,2,0,"Canada, Young Adult, Contemporary"
"Dover Publications, Inc.",2,0,"Science Fiction, Classics, Mathematics"
Doubleday Books for Young Readers,1,1,"Picture Books, Childrens, Classics"
Doubleday Nan A. Talese,0,2,"Canada, Historical Fiction, Mystery"
Quest Books,1,1,Astrology
Queen Midas Books,0,2,"Urban, African American"
Quercus Children's Books,0,2,"Young Adult, Contemporary, Mental Health"
Quaderns Crema,2,0,"Short Stories, Humor, Spain"
QUINTA ESSÊNCIA,0,2,"Historical Romance, Romance, Historical"
Continuum,2,0,"Nonfiction, Biography, History"
Conundrum PR,1,1,
Constable and Robinson,0,2,"Nonfiction, Humor, Books About Books"
Red Wheel/Weiser,1,1,"Religion, Spirituality, Nonfiction"
Red Dress Press,0,2,"Romance, Contemporary Romance, Contemporary"
"Recorded Books, Inc.",0,2,"Historical Fiction, Romance, Audiobook"
Rebel Pub. House,2,0,"Spirituality, Philosophy"
Real Reads,2,0,
Readers Digest,1,1,"Romance, Gothic, Mystery"
Ravenous Romance,2,0,"Paranormal, Menage, Erotica"
Raven Books,0,2,"Paranormal, Shapeshifters, Paranormal Romance"
Nation Books,2,0,"History, Nonfiction, Short Stories"
Nasza Księgarnia,1,1,"Polish Literature, School, History"
Nal Caliber,2,0,"History, Nonfiction, War"
"Naoband, LLC",2,0,Thriller
Narcissus,0,2,
NYGS / Little Brown,0,2,
Reformation Heritage Books,2,0,
Redwood Writings,0,2,
Random House Children's Books (A Division of Random House Group),2,0,"Horses, Childrens, Young Adult"
"Dreamspinner Press, LLC",1,1,"Fantasy, M M Romance, Romance"
Drifting Sands Press,1,1,Travel
Dramatist's Play Service,2,0,"Drama, Classics, Literature"
Dream Big Publishing,2,0,Fantasy
"Dreamscapes, Ink",0,2,"Young Adult, Paranormal, Fantasy"
"Nelson Doubleday, Inc.",1,1,"Horror, Historical Fiction, Gothic"
Nelson Bibles,2,0,"Religion, Reference, Nonfiction"
Quirk Classics,1,1,"Horror, Fantasy, Zombies"
Cinebook Ltd,2,0,"Comics, Bande Dessinée, Graphic Novels"
Circulo de Leitores,2,0,"Science, Nonfiction, Evolution"
City Lights,2,0,"Poetry, Classics, American"
Church Publishing,2,0,"Religion, Christian, Reference"
Chronicle Books (CA),1,1,"Poetry, Classics, Fantasy"
Random House Large Print,0,2,"Humor, Audiobook, Politics"
Random House Large Print Publishing,1,1,"Nonfiction, Cookbooks, France"
Müptela Yayınları,0,2,"Romance, Turkish, Turkish Literature"
Robert Hale Ltd,1,1,"Adventure, Historical Fiction, Mystery"
Roberts Rinehart Publishers,2,0,"History, Biography, Ireland"
Chariot Victor Publishing,1,1,"Christian, Fantasy, Historical Fiction"
Chancellor Press,2,0,"Classics, Literature, Russia"
Riverhead,2,0,"Contemporary, Adult, Audiobook"
Ripley Patton,2,0,"Paranormal, Young Adult, Fantasy"
Richard Reich,2,0,
E.L. Montes,2,0,"Romance, New Adult, Contemporary Romance"
E K Blair LLC,2,0,"New Adult, Romance, Abuse"
Dutton Caliber,2,0,"History, Nonfiction, Biography"
Dundurn,1,1,"Young Adult, Adventure, Mystery"
NTV Yayınları,2,0,"Graphic Novels, Classics, Comics"
NLA Digital LLC,0,2,"Contemporary, Romance, Young Adult"
NLA Digital Liaison Platform LLC,0,2,"Fantasy, Chick Lit, Romance"
NAL Jam,0,2,"Vampires, Young Adult, Paranormal"
Ren Kitap,2,0,"Horror, Zombies, Post Apocalyptic"
Regent College Publishing,2,0,"Philosophy, Christian, Christianity"
Regina Doman,0,2,"Young Adult, Fairy Tales, Romance"
Regnery Faith,2,0,"Religion, Nonfiction, Christian"
"Christian Faith Publishing, Inc.",1,1,
Christian Publications,2,0,"Christian, Theology, Nonfiction"
NYR Children's Collection,2,0,"Fantasy, Childrens, Classics"
E.K. Blair LLC,2,0,"Dark, Romance, Contemporary"
Chicken House Publishing,2,0,"Fantasy, Young Adult, Adventure"
Cheryl McIntyre,0,2,"New Adult, Romance, College"
Chess & Bridge,2,0,Games
ChiZine Publications,1,1,"Horror, Fantasy, Canada"
Chelle Bliss,2,0,"Romance, Erotica, Contemporary Romance"
Chattercreek,0,2,"Contemporary, Drama, Novels"
Chatto Windus,1,1,"Canada, Contemporary, Canadian Literature"
Remzi Kitabevi,0,2,"Turkish Literature, Turkish, Roman"
Center One Books,1,1,"Fantasy, Young Adult, Middle Grade"
Celestial Arts,2,0,"Nonfiction, Cookbooks, Cats"
Cecilie Dressler Verlag GmbH,1,1,"German Literature, Fantasy"
RosettaBooks,2,0,"Science Fiction, Classics, Horror"
Rosner & Wspólnicy,2,0,"Nonfiction, Travel, Polish Literature"
Romig Works,2,0,"Dark, Romance, Suspense"
Ronin Publishing,2,0,"Science, Psychology, Nonfiction"
Rock Hard Press,2,0,"Mystery, Thriller"
Mountry Publishing,1,1,Nonfiction
Morrow,2,0,"Thriller, Novels, Historical Fiction"
Morpheus International,2,0,"Science Fiction, Short Stories, Fantasy"
Central Books Ltd,2,0,"Russian Literature, Russia, War"
Central European University Press,2,0,"Hungarian Literature, Hungary, Short Stories"
Central Park Media,2,0,"Fantasy, Japan, Japanese Literature"
Central Recovery Press,1,1,"Mental Health, Nonfiction, Race"
Cemetery Dance Publications,2,0,"Horror, Short Stories, Ghosts"
E.P. Dutton,2,0,"Poetry, Childrens, Classics"
Muza S.A.,2,0,"Polish Literature, Adventure, Young Adult"
My Time Publications,2,0,
Myrmidon,2,0,"Historical Fiction, Asia, Historical"
Multnomah Publishers,2,0,"Christian, Nonfiction, Christianity"
"Mulholland Books / Little, Brown and Company",0,2,"Mystery, Crime, Thriller"
Mountain Moxie Publishing,0,2,"Romantic Suspense, Romance, Military Fiction"
Mountain Press Publishing Company,2,0,"Westerns, Horses"
Revolution Publishing Inc.,0,2,"Fantasy, Angels, Supernatural"
Rhapsody Publishing,0,2,Fantasy
"Resplendence Publishing, LLC",1,1,"Paranormal, Shapeshifters, Paranormal Romance"
Earthlight (UK),2,0,"Classics, Science Fiction, Fantasy"
Earthling Publications,2,0,"Horror, Short Stories, Short Story Collection"
EP BOOKS,1,1,Historical Fiction
ESB Publishing,1,1,"Young Adult, Science Fiction, Romance"
E.M. Leya,2,0,"M M Romance, Menage, M M F"
Rupa Publications India,1,1,"Romance, Indian Literature, India"
Runaway Pen,2,0,"Fantasy, Young Adult, Magic"
Rugged Land,2,0,"Baseball, Humor, Comedy"
Ruin,0,2,"Russia, Classics, Historical Fiction"
Rubinstein,2,0,"Literature, Dutch Literature, Classics"
Edita Birschbach,0,2,
Miramax Books/Hyperion Books for Children,2,0,"Fantasy, Young Adult, Science Fiction"
Mirrorstone,1,1,"Fantasy, Magic, Adventure"
Cassia Leo,0,2,"Romance, New Adult, Contemporary Romance"
Cartoon Books,2,0,"Graphic Novels, Comics, Fantasy"
Cartwheel,1,1,"Childrens, Picture Books, Poetry"
Rutgers University Press,1,1,"Science, Nonfiction, History"
Ruth Watson-Morris,1,1,
Rutledge Hill Press,2,0,"Self Help, Business, Nonfiction"
Ryer Publishing,2,0,"Young Adult, Realistic Fiction, Teen"
Rupa,2,0,"Romance, Classics, India"
Monarch Books,1,1,"Christian, Science, Self Help"
Mnémos,2,0,"Fantasy, Urban Fantasy, Arthurian"
"Moby Books/Playmore, Inc./I. Waldman & Son, Inc.",1,1,"Mystery, Classics, Crime"
Modern Age Publishers,2,0,
Mitchell Mendlow,2,0,"Science Fiction, Fantasy, Humor"
S.L. Jennings,2,0,"Romance, Erotica, Adult"
Castalia Publishing Company,2,0,"Spanish Literature, Classics, Plays"
Castle Books,2,0,"Nonfiction, History, Science"
Rock Star Reads,0,2,"Romance, Music, Contemporary Romance"
Robinson,2,0,"China, Romance, Asia"
Robson Books,2,0,"War, LGBT, Historical Fiction"
Edaf Antillas,2,0,"Classics, Historical Fiction, Historical"
Edcon Publishing Group,2,0,
Moore&PoesyPublishing,0,2,
Moody Press,2,0,"Christian Fiction, Christian"
Monica Murphy,0,2,"New Adult, Romance, Contemporary"
"Sang-e-Meel Publications, Lahore",2,0,Novels
Sand Hill Review Press,0,2,"Drama, Contemporary, Book Club"
Samuel French,0,2,"Mystery, Plays, Classics"
"Sally Ember, Ed.D.",0,2,"Science Fiction, Speculative Fiction, Fantasy"
Sacred Oaks Press,2,0,"Paranormal, Young Adult, Ghosts"
"Sage Publications, Inc",1,1,"History, Politics, Nonfiction"
Capstone,1,1,"Self Help, Nonfiction, Business"
Candlewick on Brilliance Audio,1,1,"Young Adult, Fantasy, Paranormal"
Midnight,2,0,
Carlton Books,2,0,
Carina,0,2,"Chick Lit, Romance, Contemporary"
Sarah Lawrence,0,2,
Sarah Richards,0,2,
Saqi Books,1,1,"Nonfiction, Pakistan"
Sanjh Publications,2,0,"Novels, Pakistan"
Sandra Madera,0,2,Fantasy
Mintis,2,0,"History, Nonfiction, Politics"
Mindshadows,0,2,"Historical Fiction, Historical, Romance"
Milo Nerak Press,1,1,Young Adult
Milky Way Ediciones,1,1,"Manga, Graphic Novels, Comics"
Mill Creek Publishing,2,0,
Millbrook Press,1,1,"Art, Picture Books, Childrens"
Millennium,2,0,"Science Fiction, Science Fiction Fantasy, Fantasy"
Microsoft Press,2,0,"Programming, Computer Science, Nonfiction"
Misque Press,1,1,"Fantasy, Romance, Fairies"
Mistral,1,1,"Roman, Dutch Literature"
Minuskel Forlag,2,0,"Graphic Novels, Comics, Mystery"
Minx,2,0,"Graphic Novels, Young Adult, Comics"
Mirador Publishing,1,1,
Minnesota Historical Society Press,1,1,"Biography, Westerns, History"
Minotaur,0,2,"Mystery, Mystery Thriller, Canada"
